          RX bytes:14103920 (14.1 MB)  TX bytes:12874 (12.8 KB)
          RX bytes:14208382 (14.2 MB)  TX bytes:12874 (12.8 KB)
          RX bytes:14313626 (14.3 MB)  TX bytes:12972 (12.9 KB)
          RX bytes:14418088 (14.4 MB)  TX bytes:12972 (12.9 KB)
          RX bytes:14518926 (14.5 MB)  TX bytes:12972 (12.9 KB)
          RX bytes:14603866 (14.6 MB)  TX bytes:12972 (12.9 KB)
          RX bytes:14653186 (14.6 MB)  TX bytes:12972 (12.9 KB)
          RX bytes:14691758 (14.6 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14726008 (14.7 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14757518 (14.7 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14812318 (14.8 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14842458 (14.8 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14898628 (14.8 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14941098 (14.9 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:14984938 (14.9 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15024668 (15.0 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15067138 (15.0 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15100018 (15.1 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15134440 (15.1 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15171598 (15.1 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15259868 (15.2 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15299758 (15.2 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15343598 (15.3 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15391638 (15.3 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15440272 (15.4 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15474864 (15.4 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15509114 (15.5 MB)  TX bytes:13240 (13.2 KB)
          RX bytes:15550426 (15.5 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15580706 (15.5 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15615026 (15.6 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15674278 (15.6 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15711268 (15.7 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15756478 (15.7 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15803058 (15.8 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15845528 (15.8 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15881490 (15.8 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15913140 (15.9 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15948760 (15.9 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:15982052 (15.9 MB)  TX bytes:13508 (13.5 KB)
          RX bytes:16014932 (16.0 MB)  TX bytes:13508 (13.5 KB)
