------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  160 KByte (default)
------------------------------------------------------------
[  4] 23.0-24.0 sec  10.0 KBytes  82.3 Kbits/sec  148.322 ms    0/    7 (0%)
[  4] 24.0-25.0 sec  8.61 KBytes  70.6 Kbits/sec  147.646 ms    0/    6 (0%)
[  4] 25.0-26.0 sec  10.0 KBytes  82.3 Kbits/sec  144.849 ms    0/    7 (0%)
[  4] 26.0-27.0 sec  8.61 KBytes  70.6 Kbits/sec  144.559 ms    0/    6 (0%)
[  4] 27.0-28.0 sec  8.61 KBytes  70.6 Kbits/sec  144.358 ms    0/    6 (0%)
[  4] 28.0-29.0 sec  8.61 KBytes  70.6 Kbits/sec  144.230 ms    0/    6 (0%)
[  4] 29.0-30.0 sec  10.0 KBytes  82.3 Kbits/sec  148.412 ms    0/    7 (0%)
[  4] 30.0-31.0 sec  8.61 KBytes  70.6 Kbits/sec  147.710 ms    0/    6 (0%)
[  4] 31.0-32.0 sec  8.61 KBytes  70.6 Kbits/sec  147.248 ms    0/    6 (0%)
[  4] 32.0-33.0 sec  8.61 KBytes  70.6 Kbits/sec  146.489 ms    0/    6 (0%)
[  4] 33.0-34.0 sec  8.61 KBytes  70.6 Kbits/sec  145.691 ms    0/    6 (0%)
[  4] 34.0-35.0 sec  10.0 KBytes  82.3 Kbits/sec  150.103 ms    0/    7 (0%)
[  4] 35.0-36.0 sec  8.61 KBytes  70.6 Kbits/sec  148.866 ms    0/    6 (0%)
[  4] 36.0-37.0 sec  8.61 KBytes  70.6 Kbits/sec  147.997 ms    0/    6 (0%)
[  4] 37.0-38.0 sec  8.61 KBytes  70.6 Kbits/sec  153.564 ms    0/    6 (0%)
[  4] 38.0-39.0 sec  10.0 KBytes  82.3 Kbits/sec  149.156 ms    0/    7 (0%)
[  4] 39.0-40.0 sec  8.61 KBytes  70.6 Kbits/sec  147.624 ms    0/    6 (0%)
[  4] 40.0-41.0 sec  8.61 KBytes  70.6 Kbits/sec  152.915 ms    0/    6 (0%)
[  4] 41.0-42.0 sec  8.61 KBytes  70.6 Kbits/sec  151.571 ms    0/    6 (0%)
[  4] 42.0-43.0 sec  8.61 KBytes  70.6 Kbits/sec  149.619 ms    0/    6 (0%)
[  4] 43.0-44.0 sec  8.61 KBytes  70.6 Kbits/sec  154.983 ms    0/    6 (0%)
[  4] 44.0-45.0 sec  10.0 KBytes  82.3 Kbits/sec  149.585 ms    0/    7 (0%)
[  4] 45.0-46.0 sec  7.18 KBytes  58.8 Kbits/sec  150.259 ms    0/    5 (0%)
[  4] 46.0-47.0 sec  10.0 KBytes  82.3 Kbits/sec  152.334 ms    0/    7 (0%)
[  4] 47.0-48.0 sec  8.61 KBytes  70.6 Kbits/sec  150.165 ms    0/    6 (0%)
[  4] 48.0-49.0 sec  8.61 KBytes  70.6 Kbits/sec  148.949 ms    0/    6 (0%)
