PING 200.0.10.2 (200.0.10.2) 56(84) bytes of data.
64 bytes from 200.0.10.2: icmp_seq=1 ttl=64 time=3.87 ms
64 bytes from 200.0.10.2: icmp_seq=2 ttl=64 time=3.89 ms
64 bytes from 200.0.10.2: icmp_seq=3 ttl=64 time=3.83 ms
64 bytes from 200.0.10.2: icmp_seq=4 ttl=64 time=3.82 ms
64 bytes from 200.0.10.2: icmp_seq=5 ttl=64 time=3.82 ms
64 bytes from 200.0.10.2: icmp_seq=6 ttl=64 time=3.75 ms
64 bytes from 200.0.10.2: icmp_seq=7 ttl=64 time=4.08 ms
64 bytes from 200.0.10.2: icmp_seq=8 ttl=64 time=3.86 ms
64 bytes from 200.0.10.2: icmp_seq=9 ttl=64 time=3.76 ms
64 bytes from 200.0.10.2: icmp_seq=10 ttl=64 time=3.73 ms
64 bytes from 200.0.10.2: icmp_seq=11 ttl=64 time=3.84 ms
64 bytes from 200.0.10.2: icmp_seq=12 ttl=64 time=3.74 ms
64 bytes from 200.0.10.2: icmp_seq=13 ttl=64 time=3.84 ms
64 bytes from 200.0.10.2: icmp_seq=14 ttl=64 time=3.78 ms
64 bytes from 200.0.10.2: icmp_seq=15 ttl=64 time=3.80 ms
64 bytes from 200.0.10.2: icmp_seq=16 ttl=64 time=3.82 ms
64 bytes from 200.0.10.2: icmp_seq=17 ttl=64 time=3.83 ms
64 bytes from 200.0.10.2: icmp_seq=18 ttl=64 time=3.74 ms
64 bytes from 200.0.10.2: icmp_seq=19 ttl=64 time=3.81 ms
64 bytes from 200.0.10.2: icmp_seq=20 ttl=64 time=3.80 ms

--- 200.0.10.2 ping statistics ---
20 packets transmitted, 20 received, 0% packet loss, time 19024ms
rtt min/avg/max/mdev = 3.736/3.825/4.084/0.075 ms
