          RX bytes:15234 (15.2 KB)  TX bytes:7350712 (7.3 MB)
          RX bytes:15576 (15.5 KB)  TX bytes:7387058 (7.3 MB)
          RX bytes:15576 (15.5 KB)  TX bytes:7437346 (7.4 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7486444 (7.4 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7535200 (7.5 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7570176 (7.5 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7606522 (7.6 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7641640 (7.6 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7698676 (7.6 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7761252 (7.7 MB)
          RX bytes:15844 (15.8 KB)  TX bytes:7815528 (7.8 MB)
          RX bytes:16040 (16.0 KB)  TX bytes:7867324 (7.8 MB)
          RX bytes:16040 (16.0 KB)  TX bytes:7931270 (7.9 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:7980254 (7.9 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8030400 (8.0 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8076416 (8.0 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8123802 (8.1 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8169798 (8.1 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8214424 (8.2 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8257680 (8.2 MB)
          RX bytes:16124 (16.1 KB)  TX bytes:8306598 (8.3 MB)
          RX bytes:16466 (16.4 KB)  TX bytes:8351224 (8.3 MB)
          RX bytes:16466 (16.4 KB)  TX bytes:8412410 (8.4 MB)
          RX bytes:16734 (16.7 KB)  TX bytes:8453118 (8.4 MB)
          RX bytes:16734 (16.7 KB)  TX bytes:8500524 (8.5 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8547890 (8.5 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8598036 (8.5 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8652332 (8.6 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8705380 (8.7 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8754156 (8.7 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8798640 (8.7 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8837746 (8.8 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8899074 (8.8 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8943700 (8.9 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:8992476 (8.9 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:9039862 (9.0 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:9091398 (9.0 MB)
          RX bytes:17076 (17.0 KB)  TX bytes:9138784 (9.1 MB)
          RX bytes:17418 (17.4 KB)  TX bytes:9188930 (9.1 MB)
          RX bytes:17418 (17.4 KB)  TX bytes:9236316 (9.2 MB)
